vencimento;valor;contraparte;doc
01/07/2026;-6963,89;FORNEC SEGURO FROTA 00025;AP-00000
01/07/2026;-7216,20;FORNEC SEGURO FROTA 00056;AP-00001
01/07/2026;-8624,12;FORNEC ALUGUEL IMOVEL 00085;AP-00002
01/07/2026;-30,00;FORNEC TARIFA MENSAL 000;AP-00003
01/07/2026;-30,00;FORNEC TARIFA MENSAL 030;AP-00004
02/07/2026;-839,06;FORNEC MANUTENCAO PREDIAL 00055;AP-00005
02/07/2026;-1351,21;FORNEC MATERIAL ESCRITORIO 00157;AP-00006
02/07/2026;-7191,35;FORNEC ALUGUEL IMOVEL 00166;AP-00007
02/07/2026;-6000,41;FORNEC TELEFONIA MOVEL 00195;AP-00008
02/07/2026;-30,00;FORNEC TARIFA MENSAL 001;AP-00009
02/07/2026;-30,00;FORNEC TARIFA MENSAL 031;AP-00010
03/07/2026;-7312,48;FORNEC SEGURO FROTA 00041;AP-00011
03/07/2026;-5899,47;FORNEC SEGURO FROTA 00057;AP-00012
03/07/2026;-3120,37;FORNEC SERVICOS TI 00073;AP-00013
03/07/2026;-565,99;FORNEC MANUTENCAO PREDIAL 00099;AP-00014
03/07/2026;-7946,65;FORNEC PAGTO FORNEC ACME 00153;AP-00015
03/07/2026;-2595,77;FORNEC TELEFONIA MOVEL 00161;AP-00016
03/07/2026;-4201,47;FORNEC MATERIAL ESCRITORIO 00188;AP-00017
03/07/2026;-30,00;FORNEC TARIFA MENSAL 002;AP-00018
03/07/2026;-30,00;FORNEC TARIFA MENSAL 032;AP-00019
04/07/2026;-7215,87;FORNEC TELEFONIA MOVEL 00066;AP-00020
04/07/2026;-185,81;FORNEC MANUTENCAO PREDIAL 00094;AP-00021
04/07/2026;-30,00;FORNEC TARIFA MENSAL 003;AP-00022
04/07/2026;-30,00;FORNEC TARIFA MENSAL 033;AP-00023
05/07/2026;-7510,97;FORNEC MATERIAL ESCRITORIO 00062;AP-00024
05/07/2026;-4215,49;FORNEC SEGURO FROTA 00092;AP-00025
05/07/2026;-4215,49;FORNEC SEGURO FROTA 00092;AP-00026
